Event	ID	Name			Wwise Object Path	Notes
	1410962341	Test_Overlap			\Default Work Unit\Test_Overlap	
	1866025847	Footstep			\Default Work Unit\Footstep	
	1937899092	Play_Assault_Rifle_EndLoop			\Weapons\WEP\WEP_Assault_Rifle\Play_Assault_Rifle_EndLoop	
	4055020373	Play_Assault_Rifle_Loop			\Weapons\WEP\WEP_Assault_Rifle\Play_Assault_Rifle_Loop	
	4166439457	Spider_Death			\Enemies\Spider\Spider_Death	

Switch Group	ID	Name			Wwise Object Path	Notes
	4050929301	Materials			\Switch_Materials\Materials	

Switch	ID	Name	Switch Group			Notes
	1216965916	Stone	Materials			
	2195636714	Dirt	Materials			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	484718142	Wwise Sine	Wwise Sine		\Actor-Mixer Hierarchy\DEV_TestTones\Master\TestTones\440_Tone\Wwise Sine	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3476768	AssaultRifle_ShotEnd04_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotEnd04_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_EndLoop\AssaultRifle_ShotEnd04_Stereo		272324
	21664215	AssaultRifle_ShotEnd03_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotEnd03_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_EndLoop\AssaultRifle_ShotEnd03_Stereo		305016
	27527134	AssaultRifle_ShotEnd05_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotEnd05_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_EndLoop\AssaultRifle_ShotEnd05_Stereo		328148
	36905875	FoleyFlesh_Gib02	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib02_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_01\FoleyFlesh_Gib02		121984
	62656906	Footstep_Generic05	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic05_78DB2988.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic05		38412
	67390931	AssaultRifle_ShotEnd06_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotEnd06_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_EndLoop\AssaultRifle_ShotEnd06_Stereo		315448
	82293863	Footstep_Generic05	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic05_E157D22E.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic05		13392
	97214881	FoleyFlesh_Gib03	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib03_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_01\FoleyFlesh_Gib03		149072
	98151545	Footstep_Generic12	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic12_9A9F4F41.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic12		14944
	132507609	Footstep_Generic06	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic06_F2FD6C0F.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic06		15048
	137072947	FoleyFlesh_Gib02_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib02_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_02\FoleyFlesh_Gib02_Stereo		243904
	151966364	Footstep_Generic07	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic07_A2457E42.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic07		31448
	157750716	FoleyFlesh_Gib04_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib04_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_02\FoleyFlesh_Gib04_Stereo		264696
	192702757	FoleyFlesh_Gib05	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib05_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_01\FoleyFlesh_Gib05		110174
	223509343	FoleyFlesh_Gib01_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib01_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_02\FoleyFlesh_Gib01_Stereo		219168
	226746022	FoleyFlesh_Gib03_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib03_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_02\FoleyFlesh_Gib03_Stereo		298080
	244994669	AssaultRifle_ShotLoop01_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotLoop01_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_Loop\AssaultRifle_ShotLoop01_Stereo		317356
	250964406	Footstep_Generic01	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic01_422CA412.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic01		15412
